# time_ps  msd_mean_A2  msd_SEM_A2  msd_STD_A2
86.000000 1.19288369e+03 6.15715540e+00 1.74150653e+01
87.000000 1.20665631e+03 6.22570080e+00 1.76089410e+01
88.000000 1.22048453e+03 6.32236397e+00 1.78823457e+01
89.000000 1.23425395e+03 6.41769899e+00 1.81519939e+01
90.000000 1.24812647e+03 6.48734164e+00 1.83489730e+01
91.000000 1.26187400e+03 6.59446082e+00 1.86519519e+01
92.000000 1.27570384e+03 6.68973848e+00 1.89214378e+01
93.000000 1.28958027e+03 6.76668951e+00 1.91390881e+01
94.000000 1.30338439e+03 6.87957324e+00 1.94583715e+01
95.000000 1.31724121e+03 7.01114695e+00 1.98305182e+01
96.000000 1.33107962e+03 7.12541426e+00 2.01537150e+01
97.000000 1.34490168e+03 7.22220827e+00 2.04274898e+01
98.000000 1.35875377e+03 7.34208260e+00 2.07665456e+01
99.000000 1.37265148e+03 7.45384556e+00 2.10826590e+01
100.000000 1.38654314e+03 7.58639373e+00 2.14575618e+01
101.000000 1.40045994e+03 7.69731703e+00 2.17713003e+01
102.000000 1.41434425e+03 7.84539078e+00 2.21901161e+01
103.000000 1.42822121e+03 8.01395969e+00 2.26669010e+01
104.000000 1.44213993e+03 8.11683589e+00 2.29578788e+01
105.000000 1.45606459e+03 8.24722564e+00 2.33266767e+01
106.000000 1.46992947e+03 8.41352698e+00 2.37970479e+01
107.000000 1.48380959e+03 8.57846536e+00 2.42635641e+01
108.000000 1.49763361e+03 8.71403947e+00 2.46470256e+01
109.000000 1.51149223e+03 8.83070697e+00 2.49770111e+01
110.000000 1.52542743e+03 8.97887361e+00 2.53960897e+01
111.000000 1.53924589e+03 9.14004009e+00 2.58519373e+01
112.000000 1.55305870e+03 9.29181715e+00 2.62812277e+01
113.000000 1.56685883e+03 9.45830936e+00 2.67521387e+01
114.000000 1.58073694e+03 9.64067078e+00 2.72679347e+01
115.000000 1.59457911e+03 9.78768143e+00 2.76837437e+01
116.000000 1.60842515e+03 9.96533849e+00 2.81862337e+01
117.000000 1.62228344e+03 1.01695703e+01 2.87638885e+01
118.000000 1.63611213e+03 1.03779069e+01 2.93531534e+01
119.000000 1.64987592e+03 1.05946368e+01 2.99661580e+01
120.000000 1.66367282e+03 1.08195954e+01 3.06024370e+01
121.000000 1.67751280e+03 1.10442078e+01 3.12377370e+01
122.000000 1.69137502e+03 1.12963611e+01 3.19509341e+01
123.000000 1.70521655e+03 1.15736844e+01 3.27353228e+01
124.000000 1.71910514e+03 1.17739905e+01 3.33018741e+01
125.000000 1.73299831e+03 1.20526401e+01 3.40900142e+01
126.000000 1.74692019e+03 1.22993248e+01 3.47877439e+01
127.000000 1.76083516e+03 1.25635588e+01 3.55351105e+01
128.000000 1.77468507e+03 1.28044747e+01 3.62165236e+01
129.000000 1.78852508e+03 1.30839251e+01 3.70069286e+01
130.000000 1.80250600e+03 1.33137664e+01 3.76570181e+01
131.000000 1.81646719e+03 1.36073040e+01 3.84872677e+01
132.000000 1.83049965e+03 1.38583928e+01 3.91974540e+01
133.000000 1.84449040e+03 1.41245235e+01 3.99501855e+01
134.000000 1.85844939e+03 1.43503835e+01 4.05890139e+01
135.000000 1.87235828e+03 1.46222486e+01 4.13579646e+01
136.000000 1.88622229e+03 1.48677653e+01 4.20523905e+01
137.000000 1.90015914e+03 1.51160974e+01 4.27547799e+01
138.000000 1.91400293e+03 1.53527690e+01 4.34241884e+01
139.000000 1.92786982e+03 1.55974571e+01 4.41162706e+01
140.000000 1.94166949e+03 1.58308899e+01 4.47765183e+01
141.000000 1.95549190e+03 1.60611626e+01 4.54278279e+01
142.000000 1.96928046e+03 1.63220794e+01 4.61658120e+01
143.000000 1.98308634e+03 1.65866770e+01 4.69142072e+01
144.000000 1.99690433e+03 1.68191560e+01 4.75717570e+01
145.000000 2.01072964e+03 1.70686360e+01 4.82773930e+01
146.000000 2.02455478e+03 1.73090278e+01 4.89573238e+01
147.000000 2.03836655e+03 1.75318707e+01 4.95876186e+01
148.000000 2.05217456e+03 1.77716278e+01 5.02657542e+01
149.000000 2.06595684e+03 1.79656027e+01 5.08143980e+01
150.000000 2.07979463e+03 1.82315048e+01 5.15664827e+01
151.000000 2.09344499e+03 1.84876946e+01 5.22910969e+01
152.000000 2.10723217e+03 1.87134839e+01 5.29297253e+01
153.000000 2.12094968e+03 1.89388627e+01 5.35671929e+01
154.000000 2.13462395e+03 1.91835744e+01 5.42593423e+01
155.000000 2.14820709e+03 1.94398386e+01 5.49841668e+01
156.000000 2.16183540e+03 1.96973112e+01 5.57124094e+01
157.000000 2.17550107e+03 1.99461941e+01 5.64163564e+01
158.000000 2.18915169e+03 2.01478623e+01 5.69867602e+01
159.000000 2.20277562e+03 2.03822217e+01 5.76496287e+01
160.000000 2.21641380e+03 2.06372653e+01 5.83710011e+01
161.000000 2.22997101e+03 2.09086603e+01 5.91386219e+01
162.000000 2.24356514e+03 2.11455795e+01 5.98087305e+01
163.000000 2.25725528e+03 2.13811240e+01 6.04749511e+01
164.000000 2.27088081e+03 2.16383499e+01 6.12024959e+01
165.000000 2.28450628e+03 2.19014352e+01 6.19466133e+01
166.000000 2.29818173e+03 2.21836745e+01 6.27449068e+01
167.000000 2.31181076e+03 2.24401627e+01 6.34703650e+01
168.000000 2.32549719e+03 2.27219698e+01 6.42674356e+01
169.000000 2.33925167e+03 2.29886215e+01 6.50216405e+01
170.000000 2.35297638e+03 2.32544485e+01 6.57735130e+01
171.000000 2.36672441e+03 2.35193660e+01 6.65228127e+01
